cod_final,n1,n2,nome,status,n_produtos,n_celulas,anos_cobertos,anos_ausentes,regras,dominio
13207,13. Sais e condimentos,13.2 Condimentos,Tempero misto,ativo,94,27,5,,,food
13208,13. Sais e condimentos,13.2 Condimentos,Vinagre de álcool,ativo,15,9,5,,,food
13209,13. Sais e condimentos,13.2 Condimentos,Vinagre de vinho,ativo,9,5,5,,,food
13210,13. Sais e condimentos,13.2 Condimentos,Outros; Vinagre não especificado; Coco ralado; Outros caldos em tablete; Colorau; Leite de coco,ativo,707,396,5,,,food
14101,14. Óleos e gorduras,14.1 Óleos,Azeite de oliva,ativo,35,9,5,,,food
14102,14. Óleos e gorduras,14.1 Óleos,Óleo de milho,ativo,5,5,5,,,food
14103,14. Óleos e gorduras,14.1 Óleos,Óleo de soja,ativo,7,7,5,,,food
14104,14. Óleos e gorduras,14.1 Óleos,Óleo não especificado; Óleo de girassol; Óleo de canola x. xOutros,ativo,164,107,5,,,food
14201,14. Óleos e gorduras,14.2 Gorduras,Margarina vegetal,ativo,84,13,5,,,food
14202,14. Óleos e gorduras,14.2 Gorduras,Outras; Banha de porco,ativo,57,51,5,,,food
15101,15. Bebidas e infusões,15.1 Bebidas alcoólicas,Outras aguardentes; Aguardente de cana,ativo,93,51,5,,,food
15102,15. Bebidas e infusões,15.1 Bebidas alcoólicas,Cerveja,ativo,74,37,5,,,food
15103,15. Bebidas e infusões,15.1 Bebidas alcoólicas,Vinho,ativo,98,10,4,1995,,food
15104,15. Bebidas e infusões,15.1 Bebidas alcoólicas,Outras,ativo,171,145,5,,,food
15201,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Água mineral,ativo,89,22,5,,,food
15202,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Refrigerante de cola,ativo,78,19,5,,,food
15203,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Refrigerante de guaraná,ativo,55,14,5,,,food
15204,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Refrigerante de laranja,ativo,71,13,5,,,food
15205,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Refrigerante de limão,ativo,79,14,5,,,food
15206,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Outros refrigerantes; Refrigerante não especificado; Refrigerante de maçã; Refrigerante de uva; Bebida energética,ativo,452,204,5,,,food
15207,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Suco de fruta em pó,ativo,82,9,5,,,food
15208,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Suco de fruta envasado,ativo,237,73,5,,,food
15209,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Outras,ativo,69,33,5,,,food
15210,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Agua de coco,ativo,5,5,5,,,food
15211,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Caldo de cana,ativo,9,5,5,,,food
15212,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,Chocolate engarrafado ou encartonado,ativo,33,10,5,,,food
15301,15. Bebidas e infusões,15.3 Cafés,Café moído,ativo,27,15,5,,,food
15302,15. Bebidas e infusões,15.3 Cafés,Café solúvel,ativo,42,25,5,,,food
15303,15. Bebidas e infusões,15.3 Cafés,Outros,ativo,9,5,3,2002;2008,,food
15304,15. Bebidas e infusões,15.3 Cafés,Café em grão,ativo,5,5,5,,,food
15401,15. Bebidas e infusões,15.4 Chás,Chá-mate,ativo,50,15,5,,,food
15402,15. Bebidas e infusões,15.4 Chás,Outros; Chá preto,ativo,258,140,5,,,food
16016,(sem nível 1),(sem nível 2),Outros,ativo,1,1,1,1987;1995;2008;2017,,food
16101,16. Outros produtos,16.1 Outros produtos,Frango assado ou defumado,ativo,5,2,2,2002;2008;2017,,food
16102,16. Outros produtos,16.1 Outros produtos,Massa; Massa preparada,ativo,15,8,4,2017,,food
16103,16. Outros produtos,16.1 Outros produtos,Outros produtos,ativo,295,146,5,,,food
16104,16. Outros produtos,16.1 Outros produtos,Refeição; Refeição pronta,ativo,1366,508,5,,,food
16105,16. Outros produtos,16.1 Outros produtos,Salgadinho,ativo,238,16,5,,,food
16106,16. Outros produtos,16.1 Outros produtos,Mistura para bolo; Mistura industrial para bolo,ativo,30,8,5,,,food
16107,16. Outros produtos,16.1 Outros produtos,Aspargo em conserva,ativo,5,5,5,,,food
16108,16. Outros produtos,16.1 Outros produtos,Cenoura em conserva,ativo,5,5,5,,,food
16109,16. Outros produtos,16.1 Outros produtos,"Repolho em conserva, cucrute",ativo,9,5,5,,,food
16110,16. Outros produtos,16.1 Outros produtos,Tomate em lata,ativo,9,5,5,,,food
16111,16. Outros produtos,16.1 Outros produtos,Palmito em conserva,ativo,5,5,5,,,food
16112,16. Outros produtos,16.1 Outros produtos,Cogumelo em conserva,ativo,11,5,5,,,food
31001,31. Servicos_e_taxas,Servicos_e_taxas,Aluguel,ativo,34,19,5,,,outros
31002,31. Servicos_e_taxas,Servicos_e_taxas,Energia eletrica,ativo,7,6,5,,,outros
31003,31. Servicos_e_taxas,Servicos_e_taxas,Telefonia,ativo,33,25,5,,,outros
31005,31. Servicos_e_taxas,Servicos_e_taxas,Gas domestico,ativo,19,12,5,,,outros
31006,31. Servicos_e_taxas,Servicos_e_taxas,Agua e esgoto,ativo,9,7,5,,,outros
31007,31. Servicos_e_taxas,Servicos_e_taxas,Outros servicos etc,ativo,263,156,5,,,outros
32001,32. Habitacao,Habitacao,Manutencao do lar,ativo,926,497,5,,,outros
