ano,cod_final,nome_final,descri_item,codigo,quadro,decisao,onda,motivo
1987,88888,Inventário,TOCA-DISCOS (INVENTARIO),1419,14,,,
1987,88888,Inventário,AR CONDICIONADO (INVENTARIO),1420,14,,,
1987,88888,Inventário,VENTILADOR E CIRCULADOR DE AR (INVENTARIO),1421,14,,,
1987,88888,Inventário,MAQUINA DE COSTURA (INVENTARIO),1422,14,,,
1987,88888,Inventário,SECADOR DE CABELO (INVENTARIO),1423,14,,,
1987,88888,Inventário,AUTOMOVEL (INVENTARIO),1424,14,,,
1987,88888,Inventário,BICICLETA (INVENTARIO),1425,14,,,
1987,88888,Inventário,MOTOCICLETA (INVENTARIO),1426,14,,,
1987,88888,Inventário,DESPESAS COM AQUISIÇÃO DE APARELHOS E MAQUINAS DE USO DOMESTICO,1500,15,,,
1987,32004,Eletrodomesticos,EXAUSTOR,1501,15,,,
1987,32004,Eletrodomesticos,PURIFICADOR DE AR (EXAUSTOR),1501,15,,,
1987,32004,Eletrodomesticos,FOGÃO A GAS OU ELETRICO,1502,15,,,
1987,32004,Eletrodomesticos,FOGÃO A LENHA,1503,15,,,
1987,32004,Eletrodomesticos,FORNO ELETRICO,1504,15,,,
1987,32004,Eletrodomesticos,FREEZER,1505,15,,,
1987,32004,Eletrodomesticos,GELADEIRA,1506,15,,,
1987,32004,Eletrodomesticos,MAQUINA DE LAVAR PRATOS,1507,15,,,
1987,32004,Eletrodomesticos,ABRIDOR OU AFIADOR ELETRICO,1508,15,,,
1987,32004,Eletrodomesticos,AFIADOR ELETRICO,1508,15,,,
1987,32004,Eletrodomesticos,BATEDEIRA DE BOLO,1509,15,,,
1987,32004,Eletrodomesticos,CAFETEIRA ELETRICA,1510,15,,,
1987,32004,Eletrodomesticos,ESPREMEDOR DE FRUTAS ELETRICO,1511,15,,,
1987,32004,Eletrodomesticos,FACA ELETRICA,1512,15,,,
1987,32004,Eletrodomesticos,GRILL,1513,15,,,
1987,32004,Eletrodomesticos,LIQUIDIFICADOR,1514,15,,,
1987,32004,Eletrodomesticos,MAQUINA ELETRICA DE MOER CARNE,1515,15,,,
1987,32004,Eletrodomesticos,OZONIZADOR,1516,15,,,
1987,32004,Eletrodomesticos,PURIFICADOR DE AGUA (OZONIZADOR),1516,15,,,
1987,32004,Eletrodomesticos,TORRADEIRA ELETRICA,1517,15,,,
1987,32004,Eletrodomesticos,ASPIRADOR DE PO,1518,15,,,
1987,32004,Eletrodomesticos,ENCERADEIRA,1519,15,,,
1987,32004,Eletrodomesticos,FERRO ELETRICO,1520,15,,,
1987,32004,Eletrodomesticos,MAQUINA DE LAVAR ROUPAS,1521,15,,,
1987,32004,Eletrodomesticos,MAQUINA DE SECAR ROUPAS,1522,15,,,
1987,32004,Eletrodomesticos,ANTENA DE TELEVISÃO,1523,15,,,
1987,32004,Eletrodomesticos,TELEVISÃO EM CORES,1524,15,,,
1987,32004,Eletrodomesticos,TELEVISÃO EM PRETO E BRANCO,1525,15,,,
1987,32004,Eletrodomesticos,VIDEO-CASSETE,1526,15,,,
1987,32004,Eletrodomesticos,AMPLIFICADOR E SINTONIZADOR (RADIO),1527,15,,,
1987,32004,Eletrodomesticos,CAIXA DE SOM,1528,15,,,
1987,32004,Eletrodomesticos,CONJUNTO DE SOM ACOPLADO,1529,15,,,
1987,32004,Eletrodomesticos,GRAVADOR E TOCA-FITAS,1530,15,,,
1987,32004,Eletrodomesticos,RADIO GRAVADOR,1530,15,,,
1987,32004,Eletrodomesticos,RADIO TOCA-FITAS,1530,15,,,
1987,32004,Eletrodomesticos,TOCA-FITAS,1530,15,,,
1987,32004,Eletrodomesticos,RADIO DE MESA,1531,15,,,
1987,32004,Eletrodomesticos,RADIO PORTATIL,1532,15,,,
1987,32004,Eletrodomesticos,RADIO RELOGIO,1533,15,,,
1987,32004,Eletrodomesticos,AMPLIFICADOR,1534,15,,,
1987,32004,Eletrodomesticos,TAPE-DECK,1535,15,,,
1987,32004,Eletrodomesticos,TOCA-DISCOS,1536,15,,,
1987,32004,Eletrodomesticos,VIDEO-GAME E ACESSORIOS,1537,15,,,
1987,32004,Eletrodomesticos,WALKMAN,1538,15,,,
1987,32004,Eletrodomesticos,AR CONDICIONADO,1539,15,,,
1987,32004,Eletrodomesticos,AQUECEDOR DE AR,1540,15,,,
1987,32004,Eletrodomesticos,CIRCULADOR DE AR,1541,15,,,
1987,32004,Eletrodomesticos,VENTILADOR,1542,15,,,
1987,32004,Eletrodomesticos,MAQUINA DE COSTURA A PEDAL,1543,15,,,
1987,32004,Eletrodomesticos,MAQUINA DE COSTURA ELETRICA,1544,15,,,
1987,32004,Eletrodomesticos,MAQUINA DE TRICO,1545,15,,,
1987,32004,Eletrodomesticos,AQUECEDOR CENTRAL DE AGUA ELETRICO,1546,15,,,
1987,32004,Eletrodomesticos,AQUECEDOR DE AGUA ELETRICO (CENTRAL),1546,15,,,
1987,32004,Eletrodomesticos,AQUECEDOR DE AGUA A GAS,1547,15,,,
1987,32004,Eletrodomesticos,BOMBA D'AGUA,1548,15,,,
1987,32004,Eletrodomesticos,CHUVEIRO ELETRICO OU DUCHA,1549,15,,,
1987,32004,Eletrodomesticos,TORNEIRA ELETRICA,1550,15,,,
1987,32004,Eletrodomesticos,SECADOR E MODELADOR DE CABELOS,1551,15,,,
1987,32004,Eletrodomesticos,BARBEADOR ELETRICO,1552,15,,,
1987,32004,Eletrodomesticos,DEPILADOR ELETRICO,1553,15,,,
1987,32004,Eletrodomesticos,ACENDEDOR ELETRICO,1554,15,,,
1987,32004,Eletrodomesticos,GERADOR,1555,15,,,
1987,32004,Eletrodomesticos,REGULADOR DE VOLTAGEM,1556,15,,,
1987,32004,Eletrodomesticos,MAQUINA DE COSTURA MANUAL,1557,15,,,
1987,32004,Eletrodomesticos,MINI MAQUINA DE COSTURA MANUAL,1557,15,,,
1987,32004,Eletrodomesticos,CENTRIFUGA,1558,15,,,
1987,32004,Eletrodomesticos,RADIO RELOGIO TELEFONE,1559,15,,,
1987,32004,Eletrodomesticos,TELEFONE RADIO RELOGIO,1559,15,,,
1987,32004,Eletrodomesticos,EGOISTA (FONE PARA OUVIDO),1560,15,,,
1987,32004,Eletrodomesticos,FONE PARA OUVIDO,1560,15,,,
1987,32004,Eletrodomesticos,HADFONE,1560,15,,,
