cod_final,n1,n2,nome,qualidade,n_produtos,anos_cobertos,anos_ausentes,nota,dominio
21101,21. Higiene e cuidados pessoais,21.1 Higiene e cuidados pessoais,Perfume e colônia,Alta,22,5,,,naoalim
21102,21. Higiene e cuidados pessoais,21.1 Higiene e cuidados pessoais,Produtos para cabelo,Alta,119,5,,,naoalim
21103,21. Higiene e cuidados pessoais,21.1 Higiene e cuidados pessoais,Sabonete e produtos de banho,Alta,13,5,,,naoalim
21104,21. Higiene e cuidados pessoais,21.1 Higiene e cuidados pessoais,Outros produtos de higiene pessoal,Alta,521,5,,,naoalim
22101,22. Assistência à saúde,22.1 Medicamentos e materiais,Remédios e produtos farmacêuticos,Alta,925,5,,,naoalim
22102,22. Assistência à saúde,22.1 Medicamentos e materiais,Material de tratamento médico,Alta,266,5,,,naoalim
22201,22. Assistência à saúde,22.2 Serviços médicos,Consulta e tratamento dentário,Alta,41,5,,,naoalim
22202,22. Assistência à saúde,22.2 Serviços médicos,Consulta médica,Alta,134,5,,,naoalim
22203,22. Assistência à saúde,22.2 Serviços médicos,Tratamento ambulatorial,Alta,103,5,,,naoalim
22204,22. Assistência à saúde,22.2 Serviços médicos,Serviços de cirurgia,Média,23,4,2017,Ausente em 2017; verificar se foi incorporado a hospitalização ou consulta,naoalim
22205,22. Assistência à saúde,22.2 Serviços médicos,Hospitalização,Alta,17,5,,,naoalim
22206,22. Assistência à saúde,22.2 Serviços médicos,Exames médicos,Alta,138,5,,,naoalim
22301,22. Assistência à saúde,22.3 Plano e outros,Plano e seguro de saúde,Alta,38,5,,,naoalim
22302,22. Assistência à saúde,22.3 Plano e outros,Outros serviços de saúde,Alta,119,5,,,naoalim
23101,23. Educação,23.1 Cursos,Cursos regulares (ensino fundamental/médio),Média,59,4,1987,Ausente em 1987; verificar se estava agrupado com curso superior,naoalim
23102,23. Educação,23.1 Cursos,Curso superior,Alta,33,5,,,naoalim
23103,23. Educação,23.1 Cursos,Outros cursos e formação,Média,257,4,1987,Ausente em 1987; verificar questão deste ano,naoalim
23201,23. Educação,23.2 Material e outros,Livros e revistas técnicas,Média,48,4,2017,Ausente em 2017; verificar se incorporado a outros educação,naoalim
23202,23. Educação,23.2 Material e outros,Artigos escolares,Alta,306,5,,,naoalim
23203,23. Educação,23.2 Material e outros,Outros gastos com educação,Alta,210,5,,,naoalim
24101,24. Recreação e cultura,24.1 Diversões e esportes,Brinquedos e jogos,Alta,302,5,,,naoalim
24102,24. Recreação e cultura,24.1 Diversões e esportes,Diversões e esportes,Alta,496,5,,,naoalim
24201,24. Recreação e cultura,24.2 Dispositivos e mídia,Telefone celular e acessórios (aquisição),Média (ausência histórica esperada),30,3,"1987, 2017",Ausente em 1987 e 1995; tecnologia não era item de consumo relevante,naoalim
24202,24. Recreação e cultura,24.2 Dispositivos e mídia,"Periódicos, livros e revistas não técnicas",Alta,105,5,,,naoalim
24301,24. Recreação e cultura,24.3 Outras recreações,Outras recreações e cultura,Alta,489,5,,,naoalim
25101,25. Serviços pessoais,25.1 Serviços pessoais,Fumo,Alta,125,5,,,naoalim
25102,25. Serviços pessoais,25.1 Serviços pessoais,Cabeleireiro,Alta,65,5,,,naoalim
25103,25. Serviços pessoais,25.1 Serviços pessoais,Manicure e pedicure,Alta,16,5,,,naoalim
25104,25. Serviços pessoais,25.1 Serviços pessoais,Consertos de artigos pessoais,Alta,136,5,,,naoalim
25105,25. Serviços pessoais,25.1 Serviços pessoais,Outros serviços pessoais,Alta,134,5,,,naoalim
26101,26. Despesas diversas,26.1 Despesas diversas,Jogos e apostas,Alta,125,5,,,naoalim
26102,26. Despesas diversas,26.1 Despesas diversas,Comunicação (outros),Média,98,4,1995,Ausente em 1995; verificar questão deste ano,naoalim
26103,26. Despesas diversas,26.1 Despesas diversas,Cerimônias e festas,Alta,197,5,,,naoalim
