Cod_harmo,nome,nivel1,nivel2,status,criado_em,extinto_em,substituido_por,nome_original
15207,Suco de fruta em pó,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,ativo,base,,,xx.x.xx Suco de fruta em pó
15208,Suco de fruta envasado,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,ativo,base,,,xx.x.xx Suco de fruta envasado
15209,Outras,15. Bebidas e infusões,15.2 Bebidas não alcoólicas,ativo,base,,,xx.x.xx Outras
15301,Café moído,15. Bebidas e infusões,15.3 Cafés,ativo,base,,,xx.x.x Café moído
15302,Café solúvel,15. Bebidas e infusões,15.3 Cafés,ativo,base,,,xx.x.x Café solúvel
15303,Outros,15. Bebidas e infusões,15.3 Cafés,ativo,base,,,xx.x.x Outros
15401,Chá-mate,15. Bebidas e infusões,15.4 Chás,ativo,base,,,xx.x.x Chá-mate
15402,Outros; Chá preto,15. Bebidas e infusões,15.4 Chás,ativo,base,,,xx.x.x Outrosxx.x.x Chá preto
16101,Frango assado ou defumado,16. Outros produtos,16.1 Outros produtos,ativo,base,,,xx.x.x Frango assado ou defumadoxx.x.x Frango assado ou defumado
16102,Massa; Massa preparada,16. Outros produtos,16.1 Outros produtos,ativo,base,,,xx.x.x Massaxx.x.x Massa preparada
