1011,1011,PREGO,,0912,CONSERTO DE UTENSÍLIOS DOMÉSTICOS (EXECETO ELÉTRICO)
1011,1011,CADEADO,,0915,MONTAGEM DE MÓVEIS
1011,1011,"RALO (ESGOTO, BANHEIRO, ETC.)",,0920,CONSERTO DE GELADEIRA OU FREEZER (PEÇA)
1011,1011,TELA DE ARAME,,0921,CONSERTO DE GELADEIRA OU FREEZER (MÃO-DE-OBRA)
1011,1011,TRILHO METALICO,,0922,CONSERTO DE GELADADEIRA OU FREEZER (PEÇA+MÃO-DE-OBRA)
1012,1012,FIOS E MATERIAL ELETRICO EM GERAL,CONDOMÍNIO (DOMICÍLIO PRINCIPAL),0923,CONSERTO DE TELEVISÃO E TELÃO (PEÇA)
1012,1012,MATERIAL ELETRICO PARA INSTALAÇÃO,CONDOMÍNIO (DOMICÍLIO PRINCIPAL),0924,CONSERTO DE TELEVISÃO E TELÃO (MÃO-DE-OBRA)
1012,1012,FIO PARA INSTALÇÃO ELETRICA,CONDOMÍNIO (DOMICÍLIO PRINCIPAL),0925,CONSERTO DE TELEVISÃO E TELÃO (PEÇA+MÃO-DE-OBRA)
1013,1013,"MÃO-DE-OBRA (PEDREIRO, MARCENEIRO, ELETRICISTA, ETC.)",,0926,CONSERTO DE APARELHO SONORO (PEÇA)
1013,1013,PEDREIRO,,0927,CONSERTO DE APARELHO SONORO (MÃO-DE-OBRA)
1013,1013,MARCENEIRO,,0928,CONSERTO DE APARELHO SONORO (PEÇA+MÃO-DE-OBRA)
1013,1013,ELETRICISTA,,0929,CONSERTO DE VIDEO-CASSETE (PEÇA)
1014,1014,"DEDETIZAÇÃO, DESRATIZAÇÃO, ETC.",IMPOSTO PREDIAL (DOMICÍLIO PRINCIPAL),0930,CONSERTO DE VIDEO-CASSETE (MÃO-DE-OBRA)
1014,1014,DESRATIZAÇÃO,IMPOSTO PREDIAL (DOMICÍLIO PRINCIPAL),0931,CONSERTO DE VIDEO-CASSETE (PEÇA+MÃO-DE-OBRA)
1015,1015,"VITRIFICAÇÃO (SINTECO, POLIURETANO, ETC.)",,0932,CONSERTO DE MAQUINA DE LAVAR OU SECAR ROUPA (PEÇA)
1015,1015,SINTECO,,0933,CONSERTO DE MAQUINA DE LAVAR OU SECAR ROUPA (MÃO-DE-OBRA)
1015,1015,POLIURETANO,,0934,CONSERTO DE MAQUINA DE LAVAR OU SECAR ROUPA (PEÇA+MÃO-DE-OBRA)
1016,1016,REFORMAS OU OBRAS POR EMPREITADA,"ADICIONAIS DE ALUGUEL DO IMOVEL (JUROS, MULTA, ETC.) (DOMICÍLIO PRINCIPAL)",0935,CONSERTO DE FOGÃO (PEÇA)
1016,1016,CONSTRUÇÃO POR EMPREITADA,"ADICIONAIS DE ALUGUEL DO IMOVEL (JUROS, MULTA, ETC.) (DOMICÍLIO PRINCIPAL)",0936,CONSERTO DE FOGÃO (MÃO-DE-OBRA)
