0,1,2,3,4,5,6,7,8,9,10,11,12,13
1995,Despesas diversas (DDI),Recreacao_e_cultura,Diversoes_e_esportes,"2801:2822, 2825, 2828:2854, 2898, 3302, 3307:3308, 3317",Recreacao_e_cultura,Diversoes_e_esportes,Codigo  %in% c(,"2801:2822, 2825, 2828:2854, 2898, 3302, 3307:3308, 3317","), """,38004,""",",Diversoes_e_esportes,38004
1995,Despesas diversas (DDI),Recreacao_e_cultura,Outras_recreacao_etc,"1601, 1605:1609, 1611, 1618, 1643, 1671, 1678, 1690, 2704:2705, 2798, 3306, 3309:3313, 3315, 3318:3319, 3321, 3398",Recreacao_e_cultura,Outras_recreacao_etc,Codigo  %in% c(,"1601, 1605:1609, 1611, 1618, 1643, 1671, 1678, 1690, 2704:2705, 2798, 3306, 3309:3313, 3315, 3318:3319, 3321, 3398","), """,38005,""",",Outras_recreacao_etc,38005
1995,Despesas diversas (DDI),Servicos_pessoais,Fumo,"2501, 2503:2505, 2507, 2509:2518, 2598, 4060:4061, 4071:4072",Servicos_pessoais,Fumo,Codigo  %in% c(,"2501, 2503:2505, 2507, 2509:2518, 2598, 4060:4061, 4071:4072","), """,39001,""",",Fumo,39001
1995,Despesas diversas (DDI),Servicos_pessoais,Cabeleireiro,"3101:3102, 3148",Servicos_pessoais,Cabeleireiro,Codigo  %in% c(,"3101:3102, 3148","), """,39002,""",",Cabeleireiro,39002
1995,Despesas diversas (DDI),Servicos_pessoais,Manicuro_e_pedicuro,3103,Servicos_pessoais,Manicuro_e_pedicuro,Codigo  %in% c(,3103,"), """,39003,""",",Manicuro_e_pedicuro,39003
1995,Despesas diversas (DDI),Servicos_pessoais,Consertos_de_artigos_pessoais,"3104, 3110, 3113:3116, 3118, 3120:3124, 3126:3127, 3129:3131, 3133, 3140",Servicos_pessoais,Consertos_de_artigos_pessoais,Codigo  %in% c(,"3104, 3110, 3113:3116, 3118, 3120:3124, 3126:3127, 3129:3131, 3133, 3140","), """,39004,""",",Consertos_de_artigos_pessoais,39004
1995,Despesas diversas (DDI),Servicos_pessoais,Outras_servicos_pessoais,"3105:3109, 3111:3112, 3117, 3119, 3125, 3128, 3132, 3135:3139, 3141, 3198",Servicos_pessoais,Outras_servicos_pessoais,Codigo  %in% c(,"3105:3109, 3111:3112, 3117, 3119, 3125, 3128, 3132, 3135:3139, 3141, 3198","), """,39005,""",",Outras_servicos_pessoais,39005
1995,Despesas diversas (DDI),Despesas_diversas,Jogos_e_apostas,"2601:2610, 2612:2616, 2698",Despesas_diversas,Jogos_e_apostas,Codigo  %in% c(,"2601:2610, 2612:2616, 2698","), """,40001,""",",Jogos_e_apostas,40001
1995,Despesas diversas (DDI),Despesas_diversas,Comunicacao,"2201:2202, 2298",Despesas_diversas,Comunicacao,Codigo  %in% c(,"2201:2202, 2298","), """,40002,""",",Comunicacao,40002
1995,Despesas diversas (DDI),Despesas_diversas,Cerimonias_e_festas,"4501:4510, 4598",Despesas_diversas,Cerimonias_e_festas,Codigo  %in% c(,"4501:4510, 4598","), """,40003,""",",Cerimonias_e_festas,40003
