0,1,2,3,4,6,13,14,15,16,17,18,19,20,21
2002,Despesas diversas (DDI),Habitacao,Manutencao_do_lar,"7006:7012, 7018:7020, 7098, 8001:8053, 8055:8057, 8059, 8061:8062, 8064, 8067, 8069:8071, 8073, 8080:8085, 8098, 19001:19030, 19048, 95057, 95106",,Manutencao_do_lar,"7006:7012, 7018:7020, 7098, 8001:8053, 8055:8057, 8059, 8061:8062, 8064, 8067, 8069:8071, 8073, 8080:8085, 8098, 19001:19030, 19048, 95057, 95106",Codigo  %in% c(,"7006:7012, 7018:7020, 7098, 8001:8053, 8055:8057, 8059, 8061:8062, 8064, 8067, 8069:8071, 8073, 8080:8085, 8098, 19001:19030, 19048, 95057, 95106","), """,32001,""",",Manutencao_do_lar,32001
2002,Despesas diversas (DDI),Habitacao,Artigos_de_limpeza,"95001:95008, 95011, 95014:95027, 95030:95034, 95042, 95045, 95056, 95058, 95060:95061, 95063:95066, 95069:95071, 95073, 95075, 95077, 95101:95103",,Artigos_de_limpeza,"95001:95008, 95011, 95014:95027, 95030:95034, 95042, 95045, 95056, 95058, 95060:95061, 95063:95066, 95069:95071, 95073, 95075, 95077, 95101:95103",Codigo  %in% c(,"95001:95008, 95011, 95014:95027, 95030:95034, 95042, 95045, 95056, 95058, 95060:95061, 95063:95066, 95069:95071, 95073, 95075, 95077, 95101:95103","), """,32002,""",",Artigos_de_limpeza,32002
2002,Despesas diversas (DDI),Habitacao,Mobiliarios_e_artigos_do_lar,"16019, 16021:16030, 16035:16036, 16041:16042, 16044:16045, 16047, 16062, 16070, 16082, 16089, 16103:16104, 16112, 17001:17018, 17020:17027, 17029:17037, 17040:17046, 17060:17067, 17069, 17072, 17074:17078, 17080:17118, 18001:18003, 18005, 18050:18098, 37003:37006, 37010:37013, 37016, 37020, 37023:37024, 37031:37033, 37038:37040, 37043, 37045:37047, 39001:39010, 39012:39020, 39022:39026, 39028, 39030:39044, 39046:39105, 40032, 40037, 40050, 40068, 40073, 95009:95010, 95012:95013, 95028:95029, 95035:95044, 95046:95055, 95059, 95062, 95067:95068, 95072, 95074, 95076, 95078:95085, 95104:95105, 95107:95108",,Mobiliarios_e_artigos_do_lar,"16019, 16021:16030, 16035:16036, 16041:16042, 16044:16045, 16047, 16062, 16070, 16082, 16089, 16103:16104, 16112, 17001:17018, 17020:17027, 17029:17037, 17040:17046, 17060:17067, 17069, 17072, 17074:17078, 17080:17118, 18001:18003, 18005, 18050:18098, 37003:37006, 37010:37013, 37016, 37020, 37023:37024, 37031:37033, 37038:37040, 37043, 37045:37047, 39001:39010, 39012:39020, 39022:39026, 39028, 39030:39044, 39046:39105, 40032, 40037, 40050, 40068, 40073, 95009:95010, 95012:95013, 95028:95029, 95035:95044, 95046:95055, 95059, 95062, 95067:95068, 95072, 95074, 95076, 95078:95085, 95104:95105, 95107:95108",Codigo  %in% c(,"16019, 16021:16030, 16035:16036, 16041:16042, 16044:16045, 16047, 16062, 16070, 16082, 16089, 16103:16104, 16112, 17001:17018, 17020:17027, 17029:17037, 17040:17046, 17060:17067, 17069, 17072, 17074:17078, 17080:17118, 18001:18003, 18005, 18050:18098, 37003:37006, 37010:37013, 37016, 37020, 37023:37024, 37031:37033, 37038:37040, 37043, 37045:37047, 39001:39010, 39012:39020, 39022:39026, 39028, 39030:39044, 39046:39105, 40032, 40037, 40050, 40068, 40073, 95009:95010, 95012:95013, 95028:95029, 95035:95044, 95046:95055, 95059, 95062, 95067:95068, 95072, 95074, 95076, 95078:95085, 95104:95105, 95107:95108","), """,32003,""",",Mobiliarios_e_artigos_do_lar,32003
2002,Despesas diversas (DDI),Habitacao,Eletrodomesticos,"15001:15062, 15064:15072, 15074:15078, 15080:15094, 15096:15128, 16014:16017, 16031:16034, 16037:16038, 16048:16050, 16052, 16057, 16060:16061, 16063, 16065, 16069, 16076, 16093, 16096:16097, 16100, 16102, 16107:16110, 16113:16115, 30034, 40067",,Eletrodomesticos,"15001:15062, 15064:15072, 15074:15078, 15080:15094, 15096:15128, 16014:16017, 16031:16034, 16037:16038, 16048:16050, 16052, 16057, 16060:16061, 16063, 16065, 16069, 16076, 16093, 16096:16097, 16100, 16102, 16107:16110, 16113:16115, 30034, 40067",Codigo  %in% c(,"15001:15062, 15064:15072, 15074:15078, 15080:15094, 15096:15128, 16014:16017, 16031:16034, 16037:16038, 16048:16050, 16052, 16057, 16060:16061, 16063, 16065, 16069, 16076, 16093, 16096:16097, 16100, 16102, 16107:16110, 16113:16115, 30034, 40067","), """,32004,""",",Eletrodomesticos,32004
2002,Despesas diversas (DDI),Habitacao,Consertos_de_artigos_do_lar,"9001:9003, 9006:9010, 9012, 9015, 9020:9086, 9098, 39011, 39045",,Consertos_de_artigos_do_lar,"9001:9003, 9006:9010, 9012, 9015, 9020:9086, 9098, 39011, 39045",Codigo  %in% c(,"9001:9003, 9006:9010, 9012, 9015, 9020:9086, 9098, 39011, 39045","), """,32005,""",",Consertos_de_artigos_do_lar,32005
2002,Despesas diversas (DDI),Vestuario,Roupa_de_homem,"34001:34039, 34098",,Roupa_de_homem,"34001:34039, 34098",Codigo  %in% c(,"34001:34039, 34098","), """,33001,""",",Roupa_de_homem,33001
2002,Despesas diversas (DDI),Vestuario,Roupa_de_mulher,"35001:35060, 35098",,Roupa_de_mulher,"35001:35060, 35098",Codigo  %in% c(,"35001:35060, 35098","), """,33002,""",",Roupa_de_mulher,33002
2002,Despesas diversas (DDI),Vestuario,Roupa_de_crianca,"36001:36053, 36098",,Roupa_de_crianca,"36001:36053, 36098",Codigo  %in% c(,"36001:36053, 36098","), """,33003,""",",Roupa_de_crianca,33003
2002,Despesas diversas (DDI),Vestuario,Calcados_e_apetrechos,"38001:38030, 38032:38049, 38098",,Calcados_e_apetrechos,"38001:38030, 38032:38049, 38098",Codigo  %in% c(,"38001:38030, 38032:38049, 38098","), """,33004,""",",Calcados_e_apetrechos,33004
2002,Despesas diversas (DDI),Vestuario,Joias_e_bijuterias,"40001, 40074, 46001:46008, 46010:46011, 46098",,Joias_e_bijuterias,"40001, 40074, 46001:46008, 46010:46011, 46098",Codigo  %in% c(,"40001, 40074, 46001:46008, 46010:46011, 46098","), """,33005,""",",Joias_e_bijuterias,33005
