0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,19,20,21,22
Cod,Quadro,Codigo,Variavel,Nivel_1,Descricao_1,Nivel_2,Descricao_2,Nivel_3,Descricao_3,Nivel_4,Descricao_4,Nivel_5,Descricao_5,Nivel_6,Descricao_6,DePara,Nivel 1,Nível 2,Descrição,Codigo final
63051,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011013,Orgânicos,63051,ARROZ ORGANICO,01101,3. Frutas,3.1 Frutas de clima tropical,x.x.xx Limão comum,03111
63052,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011011,Arroz,63052,ARROZ ARBOREO,01101,3. Frutas,3.1 Frutas de clima tropical,x.x.xx Mamão,03112
63053,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011011,Arroz,63053,ARROZ NEGRO,01101,3. Frutas,3.1 Frutas de clima tropical,x.x.xx Manga,03113
63054,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011011,Arroz,63054,ARROZ SEMIPRONTO NAO ESPECIFICADO,01101,3. Frutas,3.1 Frutas de clima tropical,x.x.xx Maracujá,03114
63055,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011012,Feijão,63055,FEIJAO SEMIPRONTO NAO ESPECIFICADO,01101,3. Frutas,3.1 Frutas de clima tropical,x.x.x Melancia,03115
63056,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011012,Feijao,63056,FEIJAO AZUKI,01101,3. Frutas,3.1 Frutas de clima tropical,x.x.xx Melão,03116
63057,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101101,"Cereais, leguminosas e oleaginosas",11011014,Outros,63057,SEMENTE NAO ESPECIFICADA,01209,3. Frutas,3.1 Frutas de clima tropical,x.x.xx Tangerina,03117
64001,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101103,Tubérculos e raízes,11011031,Batata inglesa,64001,BATATA INGLESA e sinonimos,02303,3. Frutas,3.1 Frutas de clima tropical,x.x.xx Outrasx.x.xx Outras laranjasx.x.x Goiabax.x.x Acerola,03118
64002,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101103,Tubérculos e raízes,11011034,Outros,64002,ARARUTA e sinonimos,02304,3. Frutas,3.2 Frutas de clima temperado,x.x.x Caqui,03201
64003,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101103,Tubérculos e raízes,11011034,Outros,64003,BATATA BAROA e sinonimos,02304,3. Frutas,3.2 Frutas de clima temperado,x.x.x Maçã,03202
64004,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101103,Tubérculos e raízes,11011034,Outros,64004,BATATA DOCE e sinonimos,02302,3. Frutas,3.2 Frutas de clima temperado,x.x.x Pêra,03203
64005,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101103,Tubérculos e raízes,11011034,Outros,64005,INHAME e sinonimos,02307,3. Frutas,3.2 Frutas de clima temperado,x.x.x Uva,03204
64006,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101103,Tubérculos e raízes,11011033,Mandioca,64006,MANDIOCA e sinonimos,02308,3. Frutas,3.2 Frutas de clima temperado,x.x.x Outrasx.x.x Pêssegox.x.x Morangox.x.x Ameixa,03205
64007,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101103,Tubérculos e raízes,11011034,Outros,64007,CARA e sinonimos,02309,"4. Cocos, castanhas e nozes",4.1 Cocos,x.x.x Coco-açaí em pastax.x.x Açaí (emulsão),04101
64008,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101103,Tubérculos e raízes,11011034,Outros,64008,BATATA NAO-ESPECIFICADA e sinonimos,02304,"4. Cocos, castanhas e nozes",4.1 Cocos,x.x.x Coco-da-baía,04103
64009,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101103,Tubérculos e raízes,11011034,Outros,64009,BATATA AIPO e sinonimos,02304,"4. Cocos, castanhas e nozes",4.1 Cocos,x.x.x Outros,04104
64010,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101103,Tubérculos e raízes,11011034,Outros,64010,RABANETE e sinonimos,02309,"5. Farinhas, féculas e massas",5.1 Farinhas,x.x.x Farinha de mandioca,05101
64011,V8000_DEFLA,1,Despesas Correntes,11,Despesas de Consumo,1101,Alimentacao,11011,Alimentação no domicílio,1101103,Tubérculos e raízes,11011034,Outros,64011,BETERRABA,02305,"5. Farinhas, féculas e massas",5.1 Farinhas,x.x.x Farinha de rosca,05102
