0,1,2,3,4,5,6,7,8,9
,,"Tabela 419 - Aquisição (monetária) alimentar domiciliar per capita anual por grupos, subgrupos e produtos e classes de recebimento mensal familiar",,,,,,,
,,Variável - Aquisição (monetária) alimentar domiciliar per capita anual (Quilogramas),,,,,,,
,,Total das áreas - POF - Total das áreas,,,,,,,
,,Classes de recebimento mensal familiar - Total,,,,,,,
,,"Grupos, subgrupos e produtos",Ano,,,,,,
,,,1987,1995,2002,2008,,,
6. Panificados,6.1 Pães,6.1.5 Pão de queijo,...,...,0.236,0.236,,,0
6. Panificados,6.1 Pães,6.1.6 Pão doce,1.11,0.844,0.747,1.095,6.1.6 Pão doce,,6.1.6 Pão doce
6. Panificados,6.1 Pães,6.1.7 Pão francês,19.936,18.399,16.909,16.243,6.1.7 Pão francês,,6.1.7 Pão francês
6. Panificados,6.1 Pães,6.1.8 Pão integral,...,...,0.115,0.292,,,0
6. Panificados,6.1 Pães,6.1.9 Torrada,...,...,0.167,0.086,,,0
6. Panificados,6.1 Pães,6.1.10 Outros,0.692,0.7,0.225,0.601,6.1.10  Pães Outros,6.1.1 Pão caseiro6.1.2 Pão de forma de padaria6.1.4 Pão de milho6.1.5 Pão de queijo6.1.8 Pão integral6.1.9 Torrada6.1.10 Outros,6.1.1 Pão caseiro6.1.2 Pão de forma de padaria6.1.4 Pão de milho6.1.5 Pão de queijo6.1.8 Pão integral6.1.9 Torrada6.1.10 Outros
6. Panificados,6.2 Bolos,6.2 Bolos,0.55,0.431,0.694,0.944,6.2 Bolos,,6.2 Bolos
6. Panificados,6.2 Bolos,6.2.1 Bolo de trigo,0.486,0.387,...,...,,6.2.1 Bolo de trigo6.2.2 Outros bolos,6.2.1 Bolo de trigo6.2.2 Outros bolos
6. Panificados,6.2 Bolos,6.2.2 Outros bolos,0.064,0.045,...,...,,,0
6. Panificados,"6.3 Biscoitos, roscas, etc.","6.3 Biscoitos, roscas, etc.",3.159,3.932,4.511,4.474,"6.3 Biscoitos, roscas, etc.",,"6.3 Biscoitos, roscas, etc."
