0,1,2,3,4,6,7,8
"5. Farinhas, féculas e massas",5.2 Féculas,5.2.3 Creme de milho,5.2.3 Creme de milho,True,7. Carnes,7.5 Carnes suínas outras,7.5.8 Salsicha7.5.8 Salsicha comum
"5. Farinhas, féculas e massas",5.2 Féculas,5.2.4 Fécula de mandioca,5.2.4 Fécula de mandioca,True,7. Carnes,7.5 Carnes suínas outras,7.5.9 Toucinho fresco7.5.1 Toucinho defumado7.4.5 Toucinho
"5. Farinhas, féculas e massas",5.2 Féculas,5.2.5 Flocos de cereal,,False,7. Carnes,7.5 Carnes suínas outras,7.5.1 Toucinho defumado
"5. Farinhas, féculas e massas",5.2 Féculas,5.2.5 Flocos de aveia,,False,7. Carnes,7.5 Carnes suínas outras,7.5.11 Outras7.5.1 Cane salgada não especificada7.5.2 Costela de porco salgada7.5.4 Paio7.5.5 Pé de porco salgado7.5.7 Salame
"5. Farinhas, féculas e massas",5.2 Féculas,5.2.6 Flocos de milho,5.2.6 Flocos de milho,True,7. Carnes,7.6 Carnes de outros animais,7.6.3 Linguiça
"5. Farinhas, féculas e massas",5.2 Féculas,5.2.7 Flocos de outros cereais,,False,7. Carnes,7.6 Carnes de outros animais,7.6.4 Outras7.6.1 Carne de cabrito7.6.2 Carne de carneiro
"5. Farinhas, féculas e massas",5.2 Féculas,5.2.8 Fubá de milho,5.2.8 Fubá de milho,True,8. Vísceras,8.1 Vísceras bovinas,8.1.2 Fígado
"5. Farinhas, féculas e massas",5.2 Féculas,5.2.9 Outras,5.2.5 Flocos de cereal5.2.5 Flocos de aveia5.2.7 Flocos de outros cereais5.2.9 Outras,True,8. Vísceras,8.1 Vísceras bovinas,8.1.4 Outras8.1.1 Bucho8.1.3 Língua
"5. Farinhas, féculas e massas",5.3 Massas,5.3 Massas,5.3 Massas,False,8. Vísceras,8.1 Vísceras bovinas,8.2.1 Vísceras suínas8.2 Vísceras suínas
"5. Farinhas, féculas e massas",5.3 Massas,5.3.1 Macarrão com ovos,5.3.1 Macarrão com ovos5.3.2 Macarrão não especificado5.3.3 Macarrão sem ovos,True,8. Vísceras,8.1 Vísceras bovinas,8.3.1 Outras vísceras8.3 Outras vísceras
"5. Farinhas, féculas e massas",5.3 Massas,5.3.2 Macarrão não especificado,,False,9. Pescados,9.1 Pescados de água salgada,9.1.2 Bacalhau
"5. Farinhas, féculas e massas",5.3 Massas,5.3.3 Macarrão sem ovos,,False,9. Pescados,9.1 Pescados de água salgada,9.1.5 Camarão fresco
"5. Farinhas, féculas e massas",5.3 Massas,5.3.4 Massa de lasanha,,False,9. Pescados,9.1 Pescados de água salgada,9.1.6 Corvina fresca
"5. Farinhas, féculas e massas",5.3 Massas,5.3.5 Massa de pastel,5.3.5 Massa de pastel,True,9. Pescados,9.1 Pescados de água salgada,9.1.11 Pescada em filé fresco
"5. Farinhas, féculas e massas",5.3 Massas,5.3.6 Massa de pizza,,False,9. Pescados,9.1 Pescados de água salgada,9.1.12 Pescada fresca
"5. Farinhas, féculas e massas",5.3 Massas,5.3.7 Outras,5.3.6 Massa de pizza5.3.7 Outras5.3.4 Massa de lasanha,True,9. Pescados,9.1 Pescados de água salgada,9.1.13 Pescadinha fresca
6. Panificados,NADA,6. Panificados,6. Panificados,False,9. Pescados,9.1 Pescados de água salgada,9.1.14 Sardinha em conserva
