celula,grupo_base,nome_base,grupo_outra,nome_outra,explicada_por,itens
2017:41040,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,PACOTE TURISTICO INTERNACIONAL (HOSPEDAGEM E DIVERSAO)
2017:41041,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,PACOTE TURISTICO NACIONAL
2017:41042,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,PACOTE TURISTICO INTERNACIONAL
2017:41043,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,DESPESAS OPCIONAIS COM AGENCIAS DE VIAGEM
2017:41044,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,MUSEU (INGRESSO)
2017:41045,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,CIRCO (INGRESSO)
2017:41046,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,"DANCETERIA, BOATE OU CASA NOTURNA"
2017:41047,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,BASQUETEBOL (INGRESSO)
2017:41048,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,TENIS (INGRESSO)
2017:41049,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,GOLFE (INGRESSO)
2017:41050,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,HIPODROMO (INGRESSO)
2017:41051,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,RODEIO (INGRESSO)
2017:41052,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,PESCA
2017:41053,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,BOLICHE
2017:41054,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,BINGO
2017:41055,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,FLIPERAMA E SIMILARES
2017:41056,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,PEDALINHOS
2017:41057,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,COLONIA DE FERIAS
2017:41058,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,ESTACIONAMENTO
2017:41059,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,TAXA ALFANDEGARIA
2017:41060,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,GUARDA-VOLUMES
2017:41061,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,CARREGADOR DE BAGAGEM
2017:41062,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,GUIA TURISTICO
2017:41063,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,LOCACAO DE BICICLETAS
2017:41064,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,UBER
2017:41065,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,EXPOSICAO (INGRESSO)
2017:41066,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,PARQUES NATURAIS E BALNEARIOS
2017:41067,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,PASSEIO TURISTICO
2017:41068,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,DESPACHO DE BAGAGEM
2017:41069,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,EVENTOS RELIGIOSOS
2017:41071,38006,Gastos com viagens,34006,Viagens,form#4ce4f6c7,TRIATLO (INGRESSO)
